"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","User","Gender","Country","Town","Vilage","Age Group","Role"
"","User 1","Male","Kenya","Bungoma","Nabongo","26-30","SMA Staff"
"","User 2","Female","Kenya","Bungoma","Khalaba","26-30","SMA Staff"
"","User 3","Male","Kenya","Bungoma","Sang'alo","26-30","SMA Staff"
"","User 4","Male","Kenya","Bungoma","Khalaba","18-20","Youth Volunteer"
"","User 5","Female","Kenya","Bungoma","Namilama","21-25","Youth Volunteer"
"","User 6","Female","Kenya","Bungoma","Lutonyi","Above 30","Community Health Worker"
"","User 7","Female","Kenya","Bungoma","Chetambe","21-25","SMA Staff"
"","User 8","Male","Kenya","Bungoma","Sirare","26-30","Youth Volunteer"
"","User 9","Male","Kenya","Bungoma","Sang'alo","21-25","Youth Volunteer"
"","User 10","Male","Kenya","Bungoma","Musikoma","26-30","Community Health Worker"
"","User 11","Male","Kenya","Bungoma","Silalame","Above 30","Community Health Worker"
"","User 12","Female","Kenya","Bungoma","Kibabii","26-30","Youth Volunteer"
"","User 13","Male","Kenya","Bungoma","Khalaba","Above 30","SMA Staff"
"","User 14","Female","Kenya","Bungoma","Musavi","Above 30","Community Health Worker"
"","User 15","Female","Kenya","Bungoma","Lutaso","Above 30","Community Health Worker"
"","User 16","Female","Kenya","Bungoma","Bungoma","21-25","SMA Staff"
"","User 17","Female","Kenya","Bungoma","Amutalah B","26-30","Youth Volunteer"
"","User 18","Female","Kenya","Bungoma","Kimilili","21-25","Youth Volunteer"
"","User 19","Female","Kenya","Nairobi","Umoja","26-30","Youth Volunteer"
"","User 20","Male","Kenya","Bungoma","Musikoma","21-25","Youth Volunteer"
"","","","","","","",""
"","","","","","","",""
"","","Age Distribution","","","","",""
"","","18-20","1","","","",""
"","","21-25","6","","","",""
"","","26-30","8","","","",""
"","","Above 30","5","","","",""
